Element Type;Element GUID;Wall OID
IfcWindow;0aNC3YsFzEZf8uB9g1nSdd;49410
IfcWindow;0aNC3YsFzEZf8uB9g1nSdc;49972
IfcDoor;0aNC3YsFzEZf8uB9g1nSdw;35804
IfcWindow;0aNC3YsFzEZf8uB9g1nSdz;49639
IfcDoor;0aNC3YsFzEZf8uB9g1nSdy;35742
IfcWindow;0aNC3YsFzEZf8uB9g1nSdn;49751
IfcDoor;0aNC3YsFzEZf8uB9g1nSds;37423
IfcWindow;0aNC3YsFzEZf8uB9g1nScC;37978
IfcWindow;0aNC3YsFzEZf8uB9g1nSc3;37978
IfcDoor;0aNC3YsFzEZf8uB9g1nSce;39201
IfcWindow;0aNC3YsFzEZf8uB9g1nScl;50492
IfcWindow;0aNC3YsFzEZf8uB9g1nSck;50492
IfcWindow;0aNC3YsFzEZf8uB9g1nScW;37978
IfcWindow;0aNC3YsFzEZf8uB9g1nSg$;35366
IfcWindow;0aNC3YsFzEZf8uB9g1nSk2;49557
IfcWindow;0aNC3YsFzEZf8uB9g1nSHV;50492
IfcWindow;1wOE2MwBf03f9R8GpskFCg;49833
IfcWindow;1wOE2MwBf03f9R8GpskF2b;50380
IfcWindow;1wOE2MwBf03f9R8GpskF2a;50380
IfcWindow;1wOE2MwBf03f9R8GpskF6d;35366
IfcWindow;1wOE2MwBf03f9R8GpskFuS;35284
IfcWindow;2nefYOh757WxJJ69EVH2Qe;35366
IfcWindow;2nefYOh757WxJJ69EVH2Qf;35366
IfcDoor;3V7W2RscLEExyQLuCnt1oO;61635
IfcDoor;3V7W2RscLEExyQLuCnt1oP;65056
IfcDoor;3V7W2RscLEExyQLuCnt1oQ;159928
IfcDoor;3V7W2RscLEExyQLuCnt1oS;61791
IfcDoor;3V7W2RscLEExyQLuCnt1o1;61552
IfcDoor;3V4w8SHAjCyBUTFZ8uhZEf;98854
IfcWindow;0Mha6o8WD5J8XEZRaJyPS7;38487
IfcWindow;0MhF3zuEzBXwC_J$8wDC_o;100663
IfcWindow;0MhF3zuEzBXwC_J$8wDCy4;100449
IfcDoor;0MhF3zuEzBXwC_J$8wDCXp;100564
IfcWindow;0MhF3zuEzBXwC_J$8wDFay;104217
IfcWindow;0MhF3zuEzBXwC_J$8wDFaJ;104316
IfcDoor;1$UkFGv$93m9yvMFzTqDGj;38569
IfcWindow;0SeBC9TD5BjBbdFFaCJVNd;35366
IfcDoor;2_G3CYmpjD1R88WI3Xz4rg;156133
IfcDoor;2_G3CYmpjD1R88WI3Xz4rh;156216
IfcDoor;2_G3CYmpjD1R88WI3Xz4qO;158635
IfcDoor;3F20D9LUzBFPiJKN4mpzvV;187525
IfcWindow;3F20D9LUzBFPiJKN4mpz_F;36757
IfcWindow;3F20D9LUzBFPiJKN4mpzZA;36757
IfcWindow;1IptmXmR50xuFFZv0u4XIx;50380
IfcWindow;1IptmXmR50xuFFZv0u4XJp;49833
IfcDoor;2lVIe9Be1FywnC3U3IcDOm;187201
IfcDoor;0WAJJ9_TT2nOQ92Aug0Pcs;50492
